rollout/ep_len_mean,rollout/ep_rew_mean,time/total_timesteps,time/iterations,time/fps,time/time_elapsed,train/value_loss,train/entropy_loss,train/policy_gradient_loss,train/clip_range,train/explained_variance,train/std,train/approx_kl,train/loss,train/n_updates,train/learning_rate,train/clip_fraction
1,0.0,0,0,,,,,,,,,,,,,
1.0,-0.4413128125,64,1,2590,0,,,,,,,,,,,
1.0,-0.41671892,128,2,1643,0,0.6583918809890748,-2.8351678371429445,-0.009545720461755992,0.2,-0.029097676277160645,0.9969806671142578,0.0008210568,0.2378276288509369,10,0.0003,0.0
1.0,-0.38888594000000004,192,3,1520,0,0.3409100189805031,-2.8291736841201782,-0.005909382179379463,0.2,0.017296016216278076,0.993914783000946,0.0006746929,0.11133322864770889,20,0.0003,0.0
1.0,-0.39856807999999994,256,4,1413,0,0.15551007017493249,-2.823217177391052,-0.007114471029490232,0.2,0.056826770305633545,0.9913965463638306,0.001196376,0.03774281591176987,30,0.0003,0.0
1.0,-0.39281459999999996,320,5,1309,0,0.06838953122496605,-2.8184077501297,-0.015949886897578834,0.2,0.09358304738998413,0.9888758659362793,0.0028793048,-0.006817353889346123,40,0.0003,0.0015625
1.0,-0.38112382000000006,384,6,1296,0,0.07358790934085846,-2.8129220485687254,-0.02697617029771209,0.2,0.08953791856765747,0.9860047101974487,0.0073219147,-0.015599660575389862,50,0.0003,0.0125
1.0,-0.35540653000000005,448,7,1287,0,0.06918548792600632,-2.8071290254592896,-0.03335476107895374,0.2,0.18236196041107178,0.9832198619842529,0.011874664,-0.029210366308689117,60,0.0003,0.053125
1.0,-0.3647391000000001,512,8,1263,0,0.06334210336208343,-2.8008562564849853,-0.0320921441540122,0.2,0.07467818260192871,0.9795305728912354,0.017268974,-0.023460155352950096,70,0.0003,0.0828125
1.0,-0.30788049,576,9,1260,0,0.06799153760075569,-2.793307876586914,-0.037980420794337985,0.2,0.22542840242385864,0.976182222366333,0.026268683,-0.027643892914056778,80,0.0003,0.1046875
1.0,-0.34472295000000003,640,10,1254,0,0.08147055134177209,-2.7864815950393678,-0.01823454163968563,0.2,0.08325988054275513,0.9726206064224243,0.011407903,0.010749377310276031,90,0.0003,0.0578125
1.0,-0.28107793999999997,704,11,1259,0,0.06421474218368531,-2.7787680864334106,-0.011995078576728702,0.2,0.07631951570510864,0.9687458276748657,0.0036701774,0.007318872958421707,100,0.0003,0.003125
1.0,-0.26662692,768,12,1264,0,0.0694326788187027,-2.7715521097183227,-0.030453830026090145,0.2,-0.11928153038024902,0.9659130573272705,0.01549563,-0.019957557320594788,110,0.0003,0.0671875
1.0,-0.28702577,832,13,1234,0,0.06491228416562081,-2.765614414215088,-0.006885911617428064,0.2,-0.11435329914093018,0.9626877307891846,0.008018957,0.020431475713849068,120,0.0003,0.0421875
1.0,-0.29331038,896,14,1240,0,0.058952775225043295,-2.7588383197784423,-0.012231462635099888,0.2,-0.14936435222625732,0.9595794677734375,0.0044245413,0.005064062774181366,130,0.0003,0.0109375
1.0,-0.28716373000000006,960,15,1240,0,0.0647727832198143,-2.752767491340637,-0.006337889190763235,0.2,0.03972291946411133,0.9568771123886108,0.0029670512,0.013189628720283508,140,0.0003,0.0
1.0,-0.2804094,1024,16,1245,0,0.047363947704434396,-2.747715449333191,-0.015017398912459613,0.2,0.011613905429840088,0.9548957943916321,0.011457234,0.0011898614466190338,150,0.0003,0.0578125
1.0,-0.28214987,1088,17,1250,0,0.05229877196252346,-2.743434453010559,-0.01486835740506649,0.2,0.001426398754119873,0.952420175075531,0.008364608,0.0019562076777219772,160,0.0003,0.0390625
1.0,-0.29468011,1152,18,1255,0,0.05422277115285397,-2.737994599342346,-0.009267860930413008,0.2,0.02084946632385254,0.9500306844711304,0.001534814,0.002553628757596016,170,0.0003,0.0
1.0,-0.28344276,1216,19,1253,0,0.04639357477426529,-2.733047032356262,-0.015826029889285564,0.2,-0.021859049797058105,0.9474208354949951,0.007941332,-0.008877240121364594,180,0.0003,0.025
1.0,-0.27798363,1280,20,1253,1,0.04443327188491821,-2.7265385389328003,-0.01166398897767067,0.2,0.00357741117477417,0.9438097476959229,0.009829838,0.006489496678113937,190,0.0003,0.0375
1.0,-0.25240865999999995,1344,21,1256,1,0.041225006058812144,-2.718360185623169,-0.0051145609468221664,0.2,0.0035254955291748047,0.9396827220916748,0.002490228,0.009945254772901535,200,0.0003,0.0
1.0,-0.19577067,1408,22,1259,1,0.04256357587873936,-2.7095784902572633,-0.009102123230695725,0.2,0.006674468517303467,0.935759961605072,0.0034577427,0.0017744768410921097,210,0.0003,0.0125
1.0,-0.25445198,1472,23,1261,1,0.03764253109693527,-2.7021132707595825,-0.0034664077684283257,0.2,0.009892165660858154,0.9328769445419312,0.0019340664,0.0065427906811237335,220,0.0003,0.0015625
1.0,-0.29146405,1536,24,1264,1,0.06830665394663811,-2.696831202507019,-0.004827828146517277,0.2,-0.0029793977737426758,0.9308539628982544,0.001718333,0.010729644447565079,230,0.0003,0.0015625
1.0,-0.24218040000000002,1600,25,1262,1,0.039399674907326696,-2.692464995384216,-0.011313041392713784,0.2,-0.0054700374603271484,0.9285887479782104,0.015666042,0.0073752738535404205,240,0.0003,0.1109375
1.0,-0.24993430999999994,1664,26,1264,1,0.031531250849366185,-2.687820076942444,-0.010176810808479786,0.2,0.006866812705993652,0.9268381595611572,0.0039055115,-0.009584087878465652,250,0.0003,0.00625
1.0,-0.26230947,1728,27,1266,1,0.04590822197496891,-2.6836490631103516,-0.0007715662010014057,0.2,0.005730330944061279,0.9242163896560669,0.003929046,0.020361924543976784,260,0.0003,0.003125
1.0,-0.24843242999999998,1792,28,1267,1,0.03375018872320652,-2.6769052028656004,-0.008593446062877774,0.2,0.003877103328704834,0.920743465423584,0.00787439,0.0034971702843904495,270,0.0003,0.0265625
1.0,-0.26764525,1856,29,1269,1,0.05544732138514519,-2.6696080446243284,-0.012581425812095403,0.2,-0.02282130718231201,0.917712390422821,0.007250324,-0.005852032452821732,280,0.0003,0.01875
1.0,-0.25393780000000005,1920,30,1268,1,0.03296678736805916,-2.663468289375305,-0.010282348096370696,0.2,0.0038143396377563477,0.9151577949523926,0.015036378,0.005201820284128189,290,0.0003,0.0734375
1.0,-0.24360107999999997,1984,31,1263,1,0.033714547753334045,-2.6590662002563477,-0.025334702618420125,0.2,0.012129127979278564,0.9138895273208618,0.013477495,-0.03731207549571991,300,0.0003,0.04375
1.0,-0.22359073,2048,32,1264,1,0.032515904679894445,-2.656366205215454,-0.006146762333810329,0.2,0.01400446891784668,0.9123964309692383,0.010274123,0.009662404656410217,310,0.0003,0.0828125
1.0,-0.24450327000000005,2112,33,1266,1,0.028511076234281063,-2.652999448776245,-0.005803558602929115,0.2,0.006598830223083496,0.910990297794342,0.0069764787,0.004922758787870407,320,0.0003,0.028125
1.0,-0.27586172000000003,2176,34,1268,1,0.030579677782952785,-2.6499008655548097,-0.0072591456584632395,0.2,0.02953016757965088,0.9093356132507324,0.0031604366,-0.0030459724366664886,330,0.0003,0.0015625
1.0,-0.26714843999999993,2240,35,1269,1,0.03166608121246099,-2.6451815366744995,-0.005073303636163473,0.2,0.020607948303222656,0.9065077304840088,0.0025713956,0.0028175460174679756,340,0.0003,0.0
1.0,-0.24693754,2304,36,1270,1,0.04147438853979111,-2.6384348630905152,-0.013599469512701034,0.2,0.001973271369934082,0.9033840894699097,0.008094898,-0.003006547689437866,350,0.0003,0.0328125
1.0,-0.25630392,2368,37,1270,1,0.030689565651118755,-2.632100820541382,-0.014333083620294928,0.2,-0.02329540252685547,0.9010191559791565,0.010022668,-0.01621348410844803,360,0.0003,0.0375
1.0,-0.24841243000000002,2432,38,1272,1,0.033097227290272715,-2.6277854442596436,-0.0018100387416779995,0.2,0.007277309894561768,0.899539589881897,0.001273931,0.0030348487198352814,370,0.0003,0.0
1.0,-0.24423935,2496,39,1272,1,0.042244572564959525,-2.6246103286743163,-0.02415252346545458,0.2,0.0257146954536438,0.8978774547576904,0.021676265,-0.010630432516336441,380,0.0003,0.10625
1.0,-0.23774637,2560,40,1272,2,0.03232056945562363,-2.6202927589416505,-0.0028732535429298878,0.2,0.014410674571990967,0.8957071304321289,0.0030576717,0.004457707516849041,390,0.0003,0.0015625
1.0,-0.21643555999999997,2624,41,1271,2,0.03850935287773609,-2.6150400161743166,-0.0019602338783442975,0.2,-0.026256918907165527,0.8932127952575684,0.0027970746,0.012259194627404213,400,0.0003,0.0109375
1.0,-0.23601595,2688,42,1272,2,0.03034845143556595,-2.6095465421676636,-0.0028246511705219747,0.2,-0.00472259521484375,0.8907471299171448,0.0019482449,0.0025414209812879562,410,0.0003,0.0
1.0,-0.24672710000000003,2752,43,1273,2,0.03168337382376194,-2.6040319442749023,-0.003088271152228117,0.2,0.014571189880371094,0.8884372711181641,0.0062369304,0.011984853073954582,420,0.0003,0.0421875
1.0,-0.26715526,2816,44,1273,2,0.047636983543634416,-2.5986008167266847,-0.003342714160680771,0.2,0.004807710647583008,0.8856632709503174,0.003403156,0.016239406540989876,430,0.0003,0.0046875
1.0,-0.22960513999999999,2880,45,1274,2,0.032534535601735116,-2.5922345876693726,-0.007503104489296674,0.2,0.014976024627685547,0.8831773996353149,0.013702125,0.005808113142848015,440,0.0003,0.06875
1.0,-0.23156510000000005,2944,46,1274,2,0.023949532583355904,-2.587093472480774,-0.008835014328360558,0.2,0.009141743183135986,0.880884051322937,0.004471003,-0.007185926660895348,450,0.0003,0.009375
1.0,-0.24122229999999997,3008,47,1273,2,0.026927047595381736,-2.581967496871948,-0.005487793870270252,0.2,0.011771976947784424,0.8789992332458496,0.004245214,0.0005300864577293396,460,0.0003,0.025
1.0,-0.23493018999999996,3072,48,1273,2,0.03715021200478077,-2.578432893753052,-0.020316646527498962,0.2,-0.003744363784790039,0.8776171803474426,0.011483088,-0.02982250042259693,470,0.0003,0.0421875
1.0,-0.24893113,3136,49,1273,2,0.02697963733226061,-2.574739623069763,-0.004273715429008007,0.2,0.017255961894989014,0.8756276369094849,0.0067103924,0.00613856315612793,480,0.0003,0.028125
1.0,-0.27174117999999997,3200,50,1275,2,0.03683108761906624,-2.5694305419921877,-0.001736207865178585,0.2,0.017807304859161377,0.8727179169654846,0.0008327132,0.013648457825183868,490,0.0003,0.0
1.0,-0.23434921000000003,3264,51,1276,2,0.03310355134308338,-2.5624277353286744,-0.009191053826361895,0.2,0.029054582118988037,0.8697865605354309,0.0064931028,0.001378614455461502,500,0.0003,0.0203125
1.0,-0.24543431,3328,52,1277,2,0.02435293011367321,-2.5565348148345945,-0.013121268060058356,0.2,0.008695065975189209,0.8676912784576416,0.00658903,-0.02099776454269886,510,0.0003,0.015625
1.0,-0.24239209000000003,3392,53,1278,2,0.03821082711219788,-2.5522658824920654,-0.0003709457814693451,0.2,0.01653885841369629,0.8660192489624023,0.0018725712,0.008446915075182915,520,0.0003,0.0015625
1.0,-0.25552557,3456,54,1277,2,0.02452633734792471,-2.548775315284729,-0.019787438772618772,0.2,0.034791529178619385,0.8648495674133301,0.03045109,-0.013633577153086662,530,0.0003,0.153125
1.0,-0.25311157999999995,3520,55,1279,2,0.030418670922517776,-2.5464587688446043,-0.0008803179487586021,0.2,0.03102165460586548,0.863782525062561,0.0013889521,0.011689971201121807,540,0.0003,0.0
1.0,-0.25333248,3584,56,1280,2,0.02845433335751295,-2.5432146549224854,-0.009300408978015184,0.2,-0.001006484031677246,0.8619474172592163,0.007664956,0.0005608974024653435,550,0.0003,0.0484375
1.0,-0.2818016,3648,57,1281,2,0.034297240525484086,-2.5384933233261107,-0.006094413343816996,0.2,0.0070230960845947266,0.8596609830856323,0.006010025,0.005432458594441414,560,0.0003,0.01875
1.0,-0.28342733999999997,3712,58,1283,2,0.031056750752031802,-2.533321809768677,-0.0017178565263748168,0.2,0.021843373775482178,0.8578354120254517,0.0009340886,0.009327199310064316,570,0.0003,0.0
1.0,-0.23505992999999997,3776,59,1285,2,0.04441690742969513,-2.5297046899795532,-0.01046210853382945,0.2,0.010954678058624268,0.8564130663871765,0.00643255,-0.014563366770744324,580,0.0003,0.00625
1.0,-0.22169759,3840,60,1287,2,0.032543535344302654,-2.5267429828643797,-0.0009367337450385093,0.2,-0.01903080940246582,0.8556063175201416,0.0036199968,0.010766547173261642,590,0.0003,0.015625
1.0,-0.24047484000000005,3904,61,1288,3,0.03063332661986351,-2.5255935430526733,-0.0030383680947124957,0.2,0.018540382385253906,0.8551340103149414,0.004374763,0.005766107700765133,600,0.0003,0.003125
1.0,-0.24517492999999999,3968,62,1287,3,0.040649864450097085,-2.5237546443939207,-0.010554988030344247,0.2,0.015447914600372314,0.8539235591888428,0.0069944933,-0.00520833395421505,610,0.0003,0.0171875
1.0,-0.21291759999999996,4032,63,1286,3,0.025347083061933517,-2.520572304725647,-0.0016229809261858463,0.2,0.023235559463500977,0.8525722026824951,0.0018359823,-7.689371705055237e-05,620,0.0003,0.0
1.0,-0.21750864999999997,4096,64,1288,3,0.03217164650559425,-2.5175797939300537,-0.006205750908702612,0.2,0.022460579872131348,0.8513097167015076,0.005996896,-0.0021474380046129227,630,0.0003,0.0265625
1.0,-0.23827220999999998,4160,65,1289,3,0.03334825187921524,-2.5145187377929688,-0.0014443855732679367,0.2,0.03154569864273071,0.8499919176101685,0.002492207,0.0024945661425590515,640,0.0003,0.0015625
1.0,-0.24837068,4224,66,1290,3,0.03013078197836876,-2.511339211463928,-0.013260231912136078,0.2,0.019980311393737793,0.8485816717147827,0.01633333,-0.002454400062561035,650,0.0003,0.0828125
1.0,-0.25618967000000004,4288,67,1292,3,0.028925465419888496,-2.5079346895217896,-0.007971525192260742,0.2,0.014293372631072998,0.8470615744590759,0.0037317602,-0.01142501924186945,660,0.0003,0.0078125
