time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/fps,time/time_elapsed,train/clip_fraction,train/explained_variance,train/approx_kl,train/learning_rate,train/entropy_loss,train/n_updates,train/value_loss,train/std,train/clip_range,train/loss,train/policy_gradient_loss
0,0.0,1,0,,,,,,,,,,,,,
1,-0.43597228125,1.0,64,1774,0,,,,,,,,,,,
2,-0.3756704700000001,1.0,128,1392,0,0.0,-0.9844787120819092,0.00080539845,0.0003,-2.8378750324249267,10,0.3620016098022461,0.9999998807907104,0.2,0.11974174529314041,-0.008259653486311436
3,-0.37820350999999996,1.0,192,1306,0,0.0,-0.6783349514007568,0.0009153364,0.0003,-2.8378554344177247,20,0.1179951548576355,1.000032901763916,0.2,0.03464394062757492,-0.00543320644646883
4,-0.41972307999999997,1.0,256,1287,0,0.0,-0.39817512035369873,0.0018865857,0.0003,-2.8371265172958373,30,0.06858760938048362,0.9988278746604919,0.2,0.012686055153608322,-0.007747412147000432
5,-0.36411247999999996,1.0,320,1274,0,0.009375,-0.06456577777862549,0.004495822,0.0003,-2.8335851669311523,40,0.07723636329174041,0.9967464804649353,0.2,-0.012389402836561203,-0.023462158069014548
6,-0.39012158999999996,1.0,384,1229,0,0.0140625,0.05476224422454834,0.007215703,0.0003,-2.82911102771759,50,0.08018517568707466,0.9942039251327515,0.2,-0.016059044748544693,-0.02770616803318262
7,-0.37817747999999995,1.0,448,1213,0,0.0328125,0.11973142623901367,0.010380233,0.0003,-2.8234716176986696,60,0.06334617361426353,0.9911285638809204,0.2,-0.01656966656446457,-0.025070501305162907
8,-0.33524921999999996,1.0,512,1210,0,0.0671875,0.2465122938156128,0.015330827,0.0003,-2.817608451843262,70,0.06433637216687202,0.988628089427948,0.2,-0.02870086207985878,-0.03400879297405481
9,-0.35685898999999993,1.0,576,1208,0,0.084375,0.20483189821243286,0.017063465,0.0003,-2.8130280017852782,80,0.050600217655301094,0.9865173101425171,0.2,-0.0434395894408226,-0.039951280085369946
10,-0.3404850499999999,1.0,640,1205,0,0.04375,0.07579809427261353,0.008847784,0.0003,-2.8082342863082888,90,0.07339564934372902,0.9836177825927734,0.2,0.014260247349739075,-0.012439912371337413
11,-0.27645218,1.0,704,1209,0,0.0,-0.02846395969390869,0.002273946,0.0003,-2.801282048225403,100,0.06738508567214012,0.979590654373169,0.2,0.009841540828347206,-0.011613057414069771
12,-0.30392712000000005,1.0,768,1208,0,0.0,-0.031607627868652344,0.001488464,0.0003,-2.7932016611099244,110,0.06763453036546707,0.9761186838150024,0.2,0.009306354448199272,-0.009609095565974713
13,-0.28577104,1.0,832,1201,0,0.0234375,-0.13272643089294434,0.008101741,0.0003,-2.786604404449463,120,0.07386416047811509,0.9728816151618958,0.2,-0.0027922913432121277,-0.021418712474405764
